prompt,image,mask
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_0.jpg,FC_masks/mask_5_0.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_1.jpg,FC_masks/mask_5_1.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_2.jpg,FC_masks/mask_5_2.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_3.jpg,FC_masks/mask_5_3.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_4.jpg,FC_masks/mask_5_4.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_5.jpg,FC_masks/mask_5_5.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_6.jpg,FC_masks/mask_5_6.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_7.jpg,FC_masks/mask_5_7.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_8.jpg,FC_masks/mask_5_8.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_9.jpg,FC_masks/mask_5_9.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_10.jpg,FC_masks/mask_5_10.png
"A flying whale with rainbow wings, in dreamy pastel style",FC_images/img_5_11.jpg,FC_masks/mask_5_11.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_0.jpg,FC_masks/mask_6_0.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_1.jpg,FC_masks/mask_6_1.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_2.jpg,FC_masks/mask_6_2.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_3.jpg,FC_masks/mask_6_3.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_4.jpg,FC_masks/mask_6_4.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_5.jpg,FC_masks/mask_6_5.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_6.jpg,FC_masks/mask_6_6.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_7.jpg,FC_masks/mask_6_7.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_8.jpg,FC_masks/mask_6_8.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_9.jpg,FC_masks/mask_6_9.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_10.jpg,FC_masks/mask_6_10.png
"A giraffe wearing a magician's cape, in pixel art style",FC_images/img_6_11.jpg,FC_masks/mask_6_11.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_0.jpg,FC_masks/mask_7_0.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_1.jpg,FC_masks/mask_7_1.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_2.jpg,FC_masks/mask_7_2.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_3.jpg,FC_masks/mask_7_3.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_4.jpg,FC_masks/mask_7_4.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_5.jpg,FC_masks/mask_7_5.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_6.jpg,FC_masks/mask_7_6.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_7.jpg,FC_masks/mask_7_7.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_8.jpg,FC_masks/mask_7_8.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_9.jpg,FC_masks/mask_7_9.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_10.jpg,FC_masks/mask_7_10.png
"A dragon made of origami paper breathing neon smoke, in vaporwave style",FC_images/img_7_11.jpg,FC_masks/mask_7_11.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_0.jpg,FC_masks/mask_8_0.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_1.jpg,FC_masks/mask_8_1.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_2.jpg,FC_masks/mask_8_2.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_3.jpg,FC_masks/mask_8_3.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_4.jpg,FC_masks/mask_8_4.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_5.jpg,FC_masks/mask_8_5.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_6.jpg,FC_masks/mask_8_6.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_7.jpg,FC_masks/mask_8_7.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_8.jpg,FC_masks/mask_8_8.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_9.jpg,FC_masks/mask_8_9.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_10.jpg,FC_masks/mask_8_10.png
"A sleepy cat lounging on a cloud of cotton candy, in fairy-tale style",FC_images/img_8_11.jpg,FC_masks/mask_8_11.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_0.jpg,FC_masks/mask_9_0.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_1.jpg,FC_masks/mask_9_1.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_2.jpg,FC_masks/mask_9_2.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_3.jpg,FC_masks/mask_9_3.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_4.jpg,FC_masks/mask_9_4.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_5.jpg,FC_masks/mask_9_5.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_6.jpg,FC_masks/mask_9_6.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_7.jpg,FC_masks/mask_9_7.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_8.jpg,FC_masks/mask_9_8.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_9.jpg,FC_masks/mask_9_9.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_10.jpg,FC_masks/mask_9_10.png
"A medieval knight riding a giant snail, in 8-bit retro video game style",FC_images/img_9_11.jpg,FC_masks/mask_9_11.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_0.jpg,FC_masks/mask_10_0.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_1.jpg,FC_masks/mask_10_1.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_2.jpg,FC_masks/mask_10_2.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_3.jpg,FC_masks/mask_10_3.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_4.jpg,FC_masks/mask_10_4.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_5.jpg,FC_masks/mask_10_5.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_6.jpg,FC_masks/mask_10_6.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_7.jpg,FC_masks/mask_10_7.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_8.jpg,FC_masks/mask_10_8.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_9.jpg,FC_masks/mask_10_9.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_10.jpg,FC_masks/mask_10_10.png
"A transparent clock filled with glowing gears, steampunk style",FC_images/img_10_11.jpg,FC_masks/mask_10_11.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_0.jpg,FC_masks/mask_11_0.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_1.jpg,FC_masks/mask_11_1.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_2.jpg,FC_masks/mask_11_2.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_3.jpg,FC_masks/mask_11_3.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_4.jpg,FC_masks/mask_11_4.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_5.jpg,FC_masks/mask_11_5.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_6.jpg,FC_masks/mask_11_6.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_7.jpg,FC_masks/mask_11_7.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_8.jpg,FC_masks/mask_11_8.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_9.jpg,FC_masks/mask_11_9.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_10.jpg,FC_masks/mask_11_10.png
"A dragonfly with wings made of stained glass, art nouveau style",FC_images/img_11_11.jpg,FC_masks/mask_11_11.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_0.jpg,FC_masks/mask_12_0.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_1.jpg,FC_masks/mask_12_1.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_2.jpg,FC_masks/mask_12_2.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_3.jpg,FC_masks/mask_12_3.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_4.jpg,FC_masks/mask_12_4.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_5.jpg,FC_masks/mask_12_5.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_6.jpg,FC_masks/mask_12_6.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_7.jpg,FC_masks/mask_12_7.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_8.jpg,FC_masks/mask_12_8.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_9.jpg,FC_masks/mask_12_9.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_10.jpg,FC_masks/mask_12_10.png
"A giant acorn with a door and windows, fairy-tale illustration style",FC_images/img_12_11.jpg,FC_masks/mask_12_11.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_0.jpg,FC_masks/mask_13_0.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_1.jpg,FC_masks/mask_13_1.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_2.jpg,FC_masks/mask_13_2.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_3.jpg,FC_masks/mask_13_3.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_4.jpg,FC_masks/mask_13_4.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_5.jpg,FC_masks/mask_13_5.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_6.jpg,FC_masks/mask_13_6.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_7.jpg,FC_masks/mask_13_7.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_8.jpg,FC_masks/mask_13_8.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_9.jpg,FC_masks/mask_13_9.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_10.jpg,FC_masks/mask_13_10.png
"A crystal skull with neon lights inside, cyberpunk style",FC_images/img_13_11.jpg,FC_masks/mask_13_11.png
"A violin made of ice, minimalist style",FC_images/img_14_0.jpg,FC_masks/mask_14_0.png
"A violin made of ice, minimalist style",FC_images/img_14_1.jpg,FC_masks/mask_14_1.png
"A violin made of ice, minimalist style",FC_images/img_14_2.jpg,FC_masks/mask_14_2.png
"A violin made of ice, minimalist style",FC_images/img_14_3.jpg,FC_masks/mask_14_3.png
"A violin made of ice, minimalist style",FC_images/img_14_4.jpg,FC_masks/mask_14_4.png
"A violin made of ice, minimalist style",FC_images/img_14_5.jpg,FC_masks/mask_14_5.png
"A violin made of ice, minimalist style",FC_images/img_14_6.jpg,FC_masks/mask_14_6.png
"A violin made of ice, minimalist style",FC_images/img_14_7.jpg,FC_masks/mask_14_7.png
"A violin made of ice, minimalist style",FC_images/img_14_8.jpg,FC_masks/mask_14_8.png
"A violin made of ice, minimalist style",FC_images/img_14_9.jpg,FC_masks/mask_14_9.png
"A violin made of ice, minimalist style",FC_images/img_14_10.jpg,FC_masks/mask_14_10.png
"A violin made of ice, minimalist style",FC_images/img_14_11.jpg,FC_masks/mask_14_11.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_0.jpg,FC_masks/mask_15_0.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_1.jpg,FC_masks/mask_15_1.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_2.jpg,FC_masks/mask_15_2.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_3.jpg,FC_masks/mask_15_3.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_4.jpg,FC_masks/mask_15_4.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_5.jpg,FC_masks/mask_15_5.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_6.jpg,FC_masks/mask_15_6.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_7.jpg,FC_masks/mask_15_7.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_8.jpg,FC_masks/mask_15_8.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_9.jpg,FC_masks/mask_15_9.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_10.jpg,FC_masks/mask_15_10.png
"A robotic cat with solar panels on its back, futuristic style",FC_images/img_15_11.jpg,FC_masks/mask_15_11.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_0.jpg,FC_masks/mask_16_0.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_1.jpg,FC_masks/mask_16_1.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_2.jpg,FC_masks/mask_16_2.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_3.jpg,FC_masks/mask_16_3.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_4.jpg,FC_masks/mask_16_4.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_5.jpg,FC_masks/mask_16_5.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_6.jpg,FC_masks/mask_16_6.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_7.jpg,FC_masks/mask_16_7.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_8.jpg,FC_masks/mask_16_8.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_9.jpg,FC_masks/mask_16_9.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_10.jpg,FC_masks/mask_16_10.png
"A teapot shaped like a floating cloud, whimsical cartoon style",FC_images/img_16_11.jpg,FC_masks/mask_16_11.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_0.jpg,FC_masks/mask_17_0.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_1.jpg,FC_masks/mask_17_1.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_2.jpg,FC_masks/mask_17_2.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_3.jpg,FC_masks/mask_17_3.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_4.jpg,FC_masks/mask_17_4.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_5.jpg,FC_masks/mask_17_5.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_6.jpg,FC_masks/mask_17_6.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_7.jpg,FC_masks/mask_17_7.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_8.jpg,FC_masks/mask_17_8.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_9.jpg,FC_masks/mask_17_9.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_10.jpg,FC_masks/mask_17_10.png
"A pirate ship in the shape of a giant seashell, fantasy style",FC_images/img_17_11.jpg,FC_masks/mask_17_11.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_0.jpg,FC_masks/mask_18_0.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_1.jpg,FC_masks/mask_18_1.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_2.jpg,FC_masks/mask_18_2.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_3.jpg,FC_masks/mask_18_3.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_4.jpg,FC_masks/mask_18_4.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_5.jpg,FC_masks/mask_18_5.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_6.jpg,FC_masks/mask_18_6.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_7.jpg,FC_masks/mask_18_7.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_8.jpg,FC_masks/mask_18_8.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_9.jpg,FC_masks/mask_18_9.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_10.jpg,FC_masks/mask_18_10.png
"A pair of high heels made from flowers and vines, botanical art style",FC_images/img_18_11.jpg,FC_masks/mask_18_11.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_0.jpg,FC_masks/mask_19_0.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_1.jpg,FC_masks/mask_19_1.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_2.jpg,FC_masks/mask_19_2.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_3.jpg,FC_masks/mask_19_3.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_4.jpg,FC_masks/mask_19_4.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_5.jpg,FC_masks/mask_19_5.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_6.jpg,FC_masks/mask_19_6.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_7.jpg,FC_masks/mask_19_7.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_8.jpg,FC_masks/mask_19_8.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_9.jpg,FC_masks/mask_19_9.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_10.jpg,FC_masks/mask_19_10.png
"A giant pencil made of tree bark, eco-art style",FC_images/img_19_11.jpg,FC_masks/mask_19_11.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_0.jpg,FC_masks/mask_20_0.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_1.jpg,FC_masks/mask_20_1.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_2.jpg,FC_masks/mask_20_2.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_3.jpg,FC_masks/mask_20_3.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_4.jpg,FC_masks/mask_20_4.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_5.jpg,FC_masks/mask_20_5.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_6.jpg,FC_masks/mask_20_6.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_7.jpg,FC_masks/mask_20_7.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_8.jpg,FC_masks/mask_20_8.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_9.jpg,FC_masks/mask_20_9.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_10.jpg,FC_masks/mask_20_10.png
"A motorcycle covered in moss and flowers, post-apocalyptic style",FC_images/img_20_11.jpg,FC_masks/mask_20_11.png
"A lantern shaped like a crescent moon, dreamlike fantasy style",FC_images/img_21_0.jpg,FC_masks/mask_21_0.png
"A lantern shaped like a crescent moon, dreamlike fantasy style",FC_images/img_21_1.jpg,FC_masks/mask_21_1.png
"A lantern shaped like a crescent moon, dreamlike fantasy style",FC_images/img_21_2.jpg,FC_masks/mask_21_2.png
